Party Id,Security Balance,Currency Balance,CCF Exchange Factor
P19,1000,0,
P1,2000,0,
P2,0,100,
P3,0,0,
P4,0,0, P4 converts 100S into 200C
P5,1000,0, P5 converts 200S into 400C
P6,0,500,
P7,2000,0,
P8,0,0,
P9,0,0,
P10,0,0, P10 converts 100S into 200C
P11,1000,0, P11 converts 200S into 400C
P12,0,500,
P13,2000,0,
P14,0,0,
P15,0,0,
P16,0,0, P16 converts 100S into 200C
P17,1000,0, P17 converts 200S into 400C
P18,0,500,


Transaction Id,From,To,Security Amount,From,To,Cash Amount
T102,P6,P5,300,P5,P6,700
T103,P8,P7,300,P7,P8,100
T104,P8,P9,100,P9,P8,100
T105,P9,P7,100,P7,P9,100
T106,P10,P8,100,P8,P10,100
T107,P11,P12,100,P12,P11,1400
T108,P11,P10,200,P10,P11,300
T109,P7,P12,300,P12,P7,600
T110,P12,P11,300,P11,P12,700
T111,P14,P13,300,P13,P14,100
T112,P14,P15,100,P15,P14,100
T113,P15,P13,100,P13,P15,100
T114,P16,P14,100,P14,P16,100
T115,P17,P18,100,P18,P17,1400
T116,P17,P16,200,P16,P17,300
T117,P13,P18,300,P18,P13,600
T118,P18,P17,300,P17,P18,700
T119,P2,P8,100,P8,P2,100
T120,P8,P14,100,P14,P8,100
T121,P14,P3,200,P3,P14,100
T122,P14,P6,100,P6,P14,100
T123,P2,P1,300,P1,P2,100
T124,P2,P3,100,P3,P2,100
T125,P3,P1,100,P1,P3,100
T126,P4,P2,100,P2,P4,100
T127,P5,P6,100,P6,P5,1400
T128,P5,P4,200,P4,P5,300
T129,P1,P6,300,P6,P1,600
T130,P6,P5,300,P5,P6,700
T131,P8,P7,300,P7,P8,100
T132,P8,P9,100,P9,P8,100
T133,P9,P7,100,P7,P9,100
T134,P10,P8,100,P8,P10,100
T135,P11,P12,100,P12,P11,1400
T136,P11,P10,200,P10,P11,300
T137,P7,P12,300,P12,P7,600
T138,P12,P11,300,P11,P12,700
T139,P14,P13,300,P13,P14,100
T140,P14,P15,100,P15,P14,100
T141,P15,P13,100,P13,P15,100
T142,P16,P14,100,P14,P16,100
T143,P17,P18,100,P18,P17,1400
T144,P17,P16,200,P16,P17,300
T145,P13,P18,300,P18,P13,600
T146,P18,P17,300,P17,P18,700
T147,P2,P8,100,P8,P2,100
T148,P8,P14,100,P14,P8,100
T149,P14,P3,100,P3,P14,100
T150,P3,P6,100,P6,P3,100
T151,P2,P1,300,P1,P2,100
T152,P2,P3,100,P3,P2,100
T153,P3,P1,100,P1,P3,100
T154,P4,P2,100,P2,P4,100
T155,P5,P6,100,P6,P5,1400
T156,P5,P4,200,P4,P5,300
T157,P1,P6,300,P6,P1,600
T158,P6,P5,300,P5,P6,700
T159,P8,P7,300,P7,P8,100
T160,P8,P9,100,P9,P8,100
T161,P9,P7,100,P7,P9,100
T162,P10,P8,100,P8,P10,100
T163,P11,P12,100,P12,P11,1400
T164,P11,P10,200,P10,P11,300
T165,P7,P12,300,P12,P7,600
T166,P12,P11,300,P11,P12,700
T167,P14,P13,300,P13,P14,100
T168,P14,P15,100,P15,P14,100
T169,P15,P13,100,P13,P15,100
T170,P16,P14,100,P14,P16,100
T171,P17,P18,100,P18,P17,1400
T172,P17,P16,200,P16,P17,300
T173,P13,P18,300,P18,P13,600
T174,P18,P17,300,P17,P18,700
T175,P2,P8,100,P8,P2,100
T176,P8,P14,100,P14,P8,100
T177,P14,P3,200,P3,P14,100
T178,P14,P6,100,P6,P14,100
T179,P2,P1,300,P1,P2,100
T180,P2,P3,100,P3,P2,100
T181,P3,P1,100,P1,P3,100
T182,P4,P2,100,P2,P4,100
T183,P5,P6,100,P6,P5,1400
T184,P5,P4,200,P4,P5,300
T185,P1,P6,300,P6,P1,600
T186,P6,P5,300,P5,P6,700
T187,P8,P7,300,P7,P8,100
T188,P8,P9,100,P9,P8,100
T189,P9,P7,100,P7,P9,100
T190,P10,P8,100,P8,P10,100
T191,P11,P12,100,P12,P11,1400
T192,P11,P10,200,P10,P11,300
T193,P7,P12,300,P12,P7,600
T194,P12,P11,300,P11,P12,700
T195,P14,P13,300,P13,P14,100
T196,P14,P15,100,P15,P14,100
T197,P15,P13,100,P13,P15,100
T198,P16,P14,100,P14,P16,100
T199,P17,P18,100,P18,P17,1400
T200,P17,P16,200,P16,P17,300
T201,P13,P18,300,P18,P13,600
T202,P18,P17,300,P17,P18,700
T203,P2,P8,100,P8,P2,100
T204,P8,P14,100,P14,P8,100
T205,P14,P3,100,P3,P14,100
T206,P3,P6,100,P6,P3,100
T207,P2,P1,300,P1,P2,100
T208,P2,P3,100,P3,P2,100
T209,P3,P1,100,P1,P3,100
T210,P4,P2,100,P2,P4,100
T211,P5,P6,100,P6,P5,1400
T212,P5,P4,200,P4,P5,300
T213,P1,P6,300,P6,P1,600
T214,P6,P5,300,P5,P6,700
T215,P8,P7,300,P7,P8,100
T216,P8,P9,100,P9,P8,100
T217,P9,P7,100,P7,P9,100
T218,P10,P8,100,P8,P10,100
T219,P11,P12,100,P12,P11,1400
T220,P11,P10,200,P10,P11,300
T221,P7,P12,300,P12,P7,600
T222,P12,P11,300,P11,P12,700
T223,P14,P13,300,P13,P14,100
T224,P14,P15,100,P15,P14,100
T225,P15,P13,100,P13,P15,100
T226,P16,P14,100,P14,P16,100
T227,P17,P18,100,P18,P17,1400
T228,P17,P16,200,P16,P17,300
T229,P13,P18,300,P18,P13,600
T230,P18,P17,300,P17,P18,700
T231,P2,P8,100,P8,P2,100
T232,P8,P14,100,P14,P8,100
T233,P14,P3,200,P3,P14,100
T234,P14,P6,100,P6,P14,100
T235,P2,P1,300,P1,P2,100
T236,P2,P3,100,P3,P2,100
T237,P3,P1,100,P1,P3,100
T238,P4,P2,100,P2,P4,100
T239,P5,P6,100,P6,P5,1400
T240,P5,P4,200,P4,P5,300
T241,P1,P6,300,P6,P1,600
T242,P6,P5,300,P5,P6,700
T243,P8,P7,300,P7,P8,100
T244,P8,P9,100,P9,P8,100
T245,P9,P7,100,P7,P9,100
T246,P10,P8,100,P8,P10,100
T247,P11,P12,100,P12,P11,1400
T248,P11,P10,200,P10,P11,300
T249,P7,P12,300,P12,P7,600
T250,P12,P11,300,P11,P12,700
T251,P14,P13,300,P13,P14,100
T252,P14,P15,100,P15,P14,100
T253,P15,P13,100,P13,P15,100
T254,P16,P14,100,P14,P16,100
T255,P17,P18,100,P18,P17,1400
T256,P17,P16,200,P16,P17,300
T257,P13,P18,300,P18,P13,600
T258,P18,P17,300,P17,P18,700
T259,P2,P8,100,P8,P2,100
T260,P8,P14,100,P14,P8,100
T261,P14,P3,100,P3,P14,100
T262,P3,P6,100,P6,P3,100
T263,P2,P1,300,P1,P2,100
T264,P2,P3,100,P3,P2,100
T265,P3,P1,100,P1,P3,100
T266,P4,P2,100,P2,P4,100
T267,P5,P6,100,P6,P5,1400
T268,P5,P4,200,P4,P5,300
T269,P1,P6,300,P6,P1,600
T270,P6,P5,300,P5,P6,700
T271,P8,P7,300,P7,P8,100
T272,P8,P9,100,P9,P8,100
T273,P9,P7,100,P7,P9,100
T274,P10,P8,100,P8,P10,100
T275,P11,P12,100,P12,P11,1400
T276,P11,P10,200,P10,P11,300
T277,P7,P12,300,P12,P7,600
T278,P12,P11,300,P11,P12,700
T279,P14,P13,300,P13,P14,100
T280,P14,P15,100,P15,P14,100
T281,P15,P13,100,P13,P15,100
T282,P16,P14,100,P14,P16,100
T283,P17,P18,100,P18,P17,1400
T284,P17,P16,200,P16,P17,300
T285,P13,P18,300,P18,P13,600
T286,P18,P17,300,P17,P18,700
T287,P2,P8,100,P8,P2,100
T288,P8,P14,100,P14,P8,100
T289,P14,P3,200,P3,P14,100
T290,P14,P6,100,P6,P14,100
T291,P2,P1,300,P1,P2,100
T292,P2,P3,100,P3,P2,100
T293,P3,P1,100,P1,P3,100
T294,P4,P2,100,P2,P4,100
T295,P5,P6,100,P6,P5,1400
T296,P5,P4,200,P4,P5,300
T297,P1,P6,300,P6,P1,600
T298,P6,P5,300,P5,P6,700
T299,P8,P7,300,P7,P8,100
T300,P8,P9,100,P9,P8,100
T301,P9,P7,100,P7,P9,100
T302,P10,P8,100,P8,P10,100
T303,P11,P12,100,P12,P11,1400
T304,P11,P10,200,P10,P11,300
T305,P7,P12,300,P12,P7,600
T306,P12,P11,300,P11,P12,700
T307,P14,P13,300,P13,P14,100
T308,P14,P15,100,P15,P14,100
T309,P15,P13,100,P13,P15,100
T310,P16,P14,100,P14,P16,100
T311,P17,P18,100,P18,P17,1400
T312,P17,P16,200,P16,P17,300
T313,P13,P18,300,P18,P13,600
T314,P18,P17,300,P17,P18,700
T315,P2,P8,100,P8,P2,100
T316,P8,P14,100,P14,P8,100
T317,P14,P3,100,P3,P14,100
T318,P3,P6,100,P6,P3,100
T319,P2,P1,300,P1,P2,100
T320,P2,P3,100,P3,P2,100
T321,P3,P1,100,P1,P3,100
T322,P4,P2,100,P2,P4,100
T323,P5,P6,100,P6,P5,1400
T324,P5,P4,200,P4,P5,300
T325,P1,P6,300,P6,P1,600
T326,P6,P5,300,P5,P6,700
T327,P8,P7,300,P7,P8,100
T328,P8,P9,100,P9,P8,100
T329,P9,P7,100,P7,P9,100
T330,P10,P8,100,P8,P10,100
T331,P11,P12,100,P12,P11,1400
T332,P11,P10,200,P10,P11,300
T333,P7,P12,300,P12,P7,600
T334,P12,P11,300,P11,P12,700
T335,P14,P13,300,P13,P14,100
T336,P14,P15,100,P15,P14,100
T337,P15,P13,100,P13,P15,100
T338,P16,P14,100,P14,P16,100
T339,P17,P18,100,P18,P17,1400
T340,P17,P16,200,P16,P17,300
T341,P13,P18,300,P18,P13,600
T342,P18,P17,300,P17,P18,700
T343,P2,P8,100,P8,P2,100
T344,P8,P14,100,P14,P8,100
T345,P14,P3,200,P3,P14,100
T346,P14,P6,100,P6,P14,100
T347,P2,P1,300,P1,P2,100
T348,P2,P3,100,P3,P2,100
T349,P3,P1,100,P1,P3,100
T350,P4,P2,100,P2,P4,100
T351,P5,P6,100,P6,P5,1400
T352,P5,P4,200,P4,P5,300
T353,P1,P6,300,P6,P1,600
T354,P6,P5,300,P5,P6,700
T355,P8,P7,300,P7,P8,100
T356,P8,P9,100,P9,P8,100
T357,P9,P7,100,P7,P9,100
T358,P10,P8,100,P8,P10,100
T359,P11,P12,100,P12,P11,1400
T360,P11,P10,200,P10,P11,300
T361,P7,P12,300,P12,P7,600
T362,P12,P11,300,P11,P12,700
T363,P14,P13,300,P13,P14,100
T364,P14,P15,100,P15,P14,100
T365,P15,P13,100,P13,P15,100
T366,P16,P14,100,P14,P16,100
T367,P17,P18,100,P18,P17,1400
T368,P17,P16,200,P16,P17,300
T369,P13,P18,300,P18,P13,600
T370,P18,P17,300,P17,P18,700
T371,P2,P8,100,P8,P2,100
T372,P8,P14,100,P14,P8,100
T373,P14,P3,100,P3,P14,100
T374,P3,P6,100,P6,P3,100
T375,P2,P1,300,P1,P2,100
T376,P2,P3,100,P3,P2,100
T377,P3,P1,100,P1,P3,100
T378,P4,P2,100,P2,P4,100
T379,P5,P6,100,P6,P5,1400
T380,P5,P4,200,P4,P5,300
T381,P1,P6,300,P6,P1,600
T382,P6,P5,300,P5,P6,700
T383,P8,P7,300,P7,P8,100
T384,P8,P9,100,P9,P8,100
T385,P9,P7,100,P7,P9,100
T386,P10,P8,100,P8,P10,100
T387,P11,P12,100,P12,P11,1400
T388,P11,P10,200,P10,P11,300
T389,P7,P12,300,P12,P7,600
T390,P12,P11,300,P11,P12,700
T391,P14,P13,300,P13,P14,100
T392,P14,P15,100,P15,P14,100
T393,P15,P13,100,P13,P15,100
T394,P16,P14,100,P14,P16,100
T395,P17,P18,100,P18,P17,1400
T396,P17,P16,200,P16,P17,300
T397,P13,P18,300,P18,P13,600
T398,P18,P17,300,P17,P18,700
T399,P2,P8,100,P8,P2,100
T400,P8,P14,100,P14,P8,100
T401,P14,P3,200,P3,P14,100
T402,P14,P6,100,P6,P14,100
T403,P2,P1,300,P1,P2,100
T404,P2,P3,100,P3,P2,100
T405,P3,P1,100,P1,P3,100
T406,P4,P2,100,P2,P4,100
T407,P5,P6,100,P6,P5,1400
T408,P5,P4,200,P4,P5,300
T409,P1,P6,300,P6,P1,600
T410,P6,P5,300,P5,P6,700
T411,P8,P7,300,P7,P8,100
T412,P8,P9,100,P9,P8,100
T413,P9,P7,100,P7,P9,100
T414,P10,P8,100,P8,P10,100
T415,P11,P12,100,P12,P11,1400
T416,P11,P10,200,P10,P11,300
T417,P7,P12,300,P12,P7,600
T418,P12,P11,300,P11,P12,700
T419,P14,P13,300,P13,P14,100
T420,P14,P15,100,P15,P14,100
T421,P15,P13,100,P13,P15,100
T422,P16,P14,100,P14,P16,100
T423,P17,P18,100,P18,P17,1400
T424,P17,P16,200,P16,P17,300
T425,P13,P18,300,P18,P13,600
T426,P18,P17,300,P17,P18,700
T427,P2,P8,100,P8,P2,100
T428,P8,P14,100,P14,P8,100
T429,P14,P3,100,P3,P14,100
T430,P3,P6,100,P6,P3,100
T431,P2,P1,300,P1,P2,100
T432,P2,P3,100,P3,P2,100
T433,P3,P1,100,P1,P3,100
T434,P4,P2,100,P2,P4,100
T435,P5,P6,100,P6,P5,1400
T436,P5,P4,200,P4,P5,300
T437,P1,P6,300,P6,P1,600
T438,P6,P5,300,P5,P6,700
T439,P8,P7,300,P7,P8,100
T440,P8,P9,100,P9,P8,100
T441,P9,P7,100,P7,P9,100
T442,P10,P8,100,P8,P10,100
T443,P11,P12,100,P12,P11,1400
T444,P11,P10,200,P10,P11,300
T445,P7,P12,300,P12,P7,600
T446,P12,P11,300,P11,P12,700
T447,P14,P13,300,P13,P14,100
T448,P14,P15,100,P15,P14,100
T449,P15,P13,100,P13,P15,100
T450,P16,P14,100,P14,P16,100
T451,P17,P18,100,P18,P17,1400
T452,P17,P16,200,P16,P17,300
T453,P13,P18,300,P18,P13,600
T454,P18,P17,300,P17,P18,700
T455,P2,P8,100,P8,P2,100
T456,P8,P14,100,P14,P8,100
T457,P14,P3,200,P3,P14,100
T458,P14,P6,100,P6,P14,100
T459,P2,P1,300,P1,P2,100
T460,P2,P3,100,P3,P2,100
T461,P3,P1,100,P1,P3,100
T462,P4,P2,100,P2,P4,100
T463,P5,P6,100,P6,P5,1400
T464,P5,P4,200,P4,P5,300
T465,P1,P6,300,P6,P1,600
T466,P6,P5,300,P5,P6,700
T467,P8,P7,300,P7,P8,100
T468,P8,P9,100,P9,P8,100
T469,P9,P7,100,P7,P9,100
T470,P10,P8,100,P8,P10,100
T471,P11,P12,100,P12,P11,1400
T472,P11,P10,200,P10,P11,300
T473,P7,P12,300,P12,P7,600
T474,P12,P11,300,P11,P12,700
T475,P14,P13,300,P13,P14,100
T476,P14,P15,100,P15,P14,100
T477,P15,P13,100,P13,P15,100
T478,P16,P14,100,P14,P16,100
T479,P17,P18,100,P18,P17,1400
T480,P17,P16,200,P16,P17,300
T481,P13,P18,300,P18,P13,600
T482,P18,P17,300,P17,P18,700
T483,P2,P8,100,P8,P2,100
T484,P8,P14,100,P14,P8,100
T485,P14,P3,100,P3,P14,100
T486,P3,P6,100,P6,P3,100
T487,P2,P1,300,P1,P2,100
T488,P2,P3,100,P3,P2,100
T489,P3,P1,100,P1,P3,100
T490,P4,P2,100,P2,P4,100
T491,P5,P6,100,P6,P5,1400
T492,P5,P4,200,P4,P5,300
T493,P1,P6,300,P6,P1,600
T494,P6,P5,300,P5,P6,700
T495,P8,P7,300,P7,P8,100
T496,P8,P9,100,P9,P8,100
T497,P9,P7,100,P7,P9,100
T498,P10,P8,100,P8,P10,100
T499,P11,P12,100,P12,P11,1400
T500,P11,P10,200,P10,P11,300
T501,P7,P12,300,P12,P7,600
T502,P12,P11,300,P11,P12,700
T503,P14,P13,300,P13,P14,100
T504,P14,P15,100,P15,P14,100
T505,P15,P13,100,P13,P15,100
T506,P16,P14,100,P14,P16,100
T507,P17,P18,100,P18,P17,1400
T508,P17,P16,200,P16,P17,300
T509,P13,P18,300,P18,P13,600
T510,P18,P17,300,P17,P18,700
T511,P2,P8,100,P8,P2,100
T512,P8,P14,100,P14,P8,100
T513,P14,P3,200,P3,P14,100
T514,P14,P6,100,P6,P14,100
T515,P2,P1,300,P1,P2,100
T516,P2,P3,100,P3,P2,100
T517,P3,P1,100,P1,P3,100
T518,P4,P2,100,P2,P4,100
T519,P5,P6,100,P6,P5,1400
T520,P5,P4,200,P4,P5,300
T521,P1,P6,300,P6,P1,600
T522,P6,P5,300,P5,P6,700
T523,P8,P7,300,P7,P8,100
T524,P8,P9,100,P9,P8,100
T525,P9,P7,100,P7,P9,100
T526,P10,P8,100,P8,P10,100
T527,P11,P12,100,P12,P11,1400
T528,P11,P10,200,P10,P11,300
T529,P7,P12,300,P12,P7,600
T530,P12,P11,300,P11,P12,700
T531,P14,P13,300,P13,P14,100
T532,P14,P15,100,P15,P14,100
T533,P15,P13,100,P13,P15,100
T534,P16,P14,100,P14,P16,100
T535,P17,P18,100,P18,P17,1400
T536,P17,P16,200,P16,P17,300
T537,P13,P18,300,P18,P13,600
T538,P18,P17,300,P17,P18,700
T539,P2,P8,100,P8,P2,100
T540,P8,P14,100,P14,P8,100
T541,P14,P3,100,P3,P14,100
T542,P3,P6,100,P6,P3,100
T543,P2,P1,300,P1,P2,100
T544,P2,P3,100,P3,P2,100
T545,P3,P1,100,P1,P3,100
T546,P4,P2,100,P2,P4,100
T547,P5,P6,100,P6,P5,1400
T548,P5,P4,200,P4,P5,300
T549,P1,P6,300,P6,P1,600
T550,P6,P5,300,P5,P6,700
T551,P8,P7,300,P7,P8,100
T552,P8,P9,100,P9,P8,100
T553,P9,P7,100,P7,P9,100
T554,P10,P8,100,P8,P10,100
T555,P11,P12,100,P12,P11,1400
T556,P11,P10,200,P10,P11,300
T557,P7,P12,300,P12,P7,600
T558,P12,P11,300,P11,P12,700
T559,P14,P13,300,P13,P14,100
T560,P14,P15,100,P15,P14,100
T561,P15,P13,100,P13,P15,100
T562,P16,P14,100,P14,P16,100
T563,P17,P18,100,P18,P17,1400
T564,P17,P16,200,P16,P17,300
T565,P13,P18,300,P18,P13,600
T566,P18,P17,300,P17,P18,700
T567,P2,P8,100,P8,P2,100
T568,P8,P14,100,P14,P8,100
T569,P14,P3,200,P3,P14,100
T570,P14,P6,100,P6,P14,100


